trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.5543272847345071}",25,18,6.444032954054705,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.5488116360940265}",25,0,-122.13753543073149,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.5433508690744998}",20,0,-31.456271292569735,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.5379444375946745}",20,0,-32.31444216600585,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.5325918010068972}",20,0,-15.278346687319168,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.5272924240430485}",20,3,-27.616664413994307,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-78.1958568559045,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5168513344916992}",20,10,-3.3611051272225847,"{0: 7, 1: 3, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.5117085777865424}",25,0,3.094893614965624,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.5066169923655895}",20,0,13.242518374862824,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.5015760690660555}",30,12,-73.71101512351119,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 2}",1
70,False,"{'a': 0.5, 'e': 0.49658530379140947}",35,0,-91.15086345906401,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.4916441974609651}",25,4,9.874715171030598,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.4867522559599717}",20,0,-30.630360339983763,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,11,4.537951337064412,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4771139155210344}",20,10,14.76557167402241,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-70.3919258519852,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",1
76,False,"{'a': 0.5, 'e': 0.46766642700990924}",20,13,-5.862947989153846,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,5,-82.56067503073012,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 2}",1
78,False,"{'a': 0.5, 'e': 0.4584060113052235}",20,0,-95.35721856193653,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
79,False,"{'a': 0.5, 'e': 0.45384479528235583}",30,9,-23.217087282203337,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.44932896411722156}",25,0,-65.90970882521104,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.4448580662229411}",20,5,-69.64223169028529,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 2}",1
82,False,"{'a': 0.5, 'e': 0.44043165450599925}",20,0,-68.6537948647617,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43604928632153556}",25,0,-7.975886454356774,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.43171052342907973}",20,14,9.90617099052835,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4274149319487267}",20,2,21.323195116063793,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.4231620823177488}",20,8,-28.37204433974674,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.418951549247639}",25,0,-13.025682683237882,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
